prescription_id,chart_id,ayanamsha_id,build_id,snapshot_type,target_graha,target_resonance_id,tradition,sub_tradition,remedy_category,remedy_id_g27,remedy_label_human,prescription_detail_jsonb,classical_strength_rating,classical_sources_jsonb,classical_source_text_jsonb,targets_motif_id,targets_cell_id,targets_dosha_class,resonance_match_score,match_score_formula_version,counter_indications_array,incompatible_with_prescription_ids_array,prerequisite_prescription_ids_array,feasibility_score,estimated_cost_inr_range_jsonb,estimated_time_minutes_daily,ritual_complexity_class,requires_acharya_review_flag,acharya_review_reason_array,cross_tradition_corroboration_count,cross_tradition_corroborating_traditions_array,phase_sequence_class,phase_duration_days,count_prescription_jsonb,substitute_options_jsonb,yantra_geometry_jsonb,pranapratishtha_required_flag,pilgrimage_site_jsonb,pilgrimage_priority_rank,recommended_hora_lord_array,recommended_choghadiya_window_array,initiation_lunar_phase_recommendation_array,recommended_facing_direction,outcome_tracking_placeholder_jsonb,prescription_embedding_vec,verification_pass_status,citation_ref,citation_human,computed_at
bd012fb3-a638-49dd-89ce-3ebfdadc6909,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,5b1ec47a-84ca-4b08-9251-996c06835b86,static_natal,Venus,6d82705b-6e99-400f-9809-3f2d2dea5bf3,parashari,,mantra,venus_matrix_mantra,"Recite the Venus beej mantra 'Om Draam Dreem Draum Sah Shukraya Namah' 108 times daily on Friday, facing east. Complete mahadasha-count japa over the dasha period.","{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""preamble_stripped"": false, ""prescription_text"": ""Recite the Venus beej mantra 'Om Draam Dreem Draum Sah Shukraya Namah' 108 times daily on Friday, facing east. Complete mahadasha-count japa over the dasha period."", ""maraka_contraindication_verdict"": null}",0.90,"{""citation"": ""BPHS Ch.91-94 (Upaya-adhyaya)"", ""source_id"": ""BPHS""}",,,,,1.010502,v1.0,,,,0.9,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": ""free"", ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,simple,f,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/venus_matrix_mantra,G27 remedy venus_matrix_mantra for Venus,2026-08-21 02:31:40.29037+00
07bde515-9191-4dcf-81bf-cee4de0d1b81,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,5b1ec47a-84ca-4b08-9251-996c06835b86,static_natal,Venus,6d82705b-6e99-400f-9809-3f2d2dea5bf3,parashari,,mantra,venus_marriage_mantra_01,"Chant Shukra Ashtottara Shatanamavali 108 times on Fridays. Venus governs love, beauty, relationships, and luxury.","{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""preamble_stripped"": false, ""prescription_text"": ""Chant Shukra Ashtottara Shatanamavali 108 times on Fridays. Venus governs love, beauty, relationships, and luxury."", ""maraka_contraindication_verdict"": null}",0.90,"{""citation"": ""BPHS Ch.88"", ""source_id"": ""BPHS""}",,,,,1.010502,v1.0,,,,0.9,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": null, ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,simple,f,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/venus_marriage_mantra_01,G27 remedy venus_marriage_mantra_01 for Venus,2026-08-21 02:31:40.29037+00
84b1b9f0-89e6-4809-af5e-c9c1e40933f5,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,5b1ec47a-84ca-4b08-9251-996c06835b86,static_natal,Venus,6d82705b-6e99-400f-9809-3f2d2dea5bf3,parashari,,japa,stotra_shri_sukta_venus_wealth,"Recite Shri Sukta (Rigveda Khilani, 16 verses) on Fridays before Lakshmi puja. Shri Sukta is the oldest Vedic hymn to Lakshmi and is the canonical prescription for Venus/Lakshmi-related prosperity.","{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""preamble_stripped"": true, ""prescription_text"": ""For Venus-related wealth affliction (Venus in 6H/12H, debilitated in Virgo, or Shukra dasha poverty): recite Shri Sukta (Rigveda Khilani, 16 verses) on Fridays before Lakshmi puja. Shri Sukta is the oldest Vedic hymn to Lakshmi and is the canonical prescription for Venus/Lakshmi-related prosperity."", ""maraka_contraindication_verdict"": null}",0.88,"{""citation"": ""Rigveda Khilani (Shri Sukta 16 verses); BPHS Ch.88"", ""source_id"": ""BPHS""}",,,,,0.940997,v1.0,,,,0.9,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": ""free"", ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,simple,f,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/stotra_shri_sukta_venus_wealth,G27 remedy stotra_shri_sukta_venus_wealth for Venus,2026-08-21 02:31:40.29037+00
31b3e530-19b1-49e8-8181-0a35fcf25ba8,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,5b1ec47a-84ca-4b08-9251-996c06835b86,static_natal,Mars,13a1bbe0-8cde-4dec-9845-907c0137b8f6,parashari,,mantra,mars_matrix_mantra,"Recite the Mars beej mantra 'Om Kraam Kreem Kraum Sah Bhaumaya Namah' 108 times daily on Tuesday, facing east. Complete mahadasha-count japa over the dasha period.","{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""preamble_stripped"": false, ""prescription_text"": ""Recite the Mars beej mantra 'Om Kraam Kreem Kraum Sah Bhaumaya Namah' 108 times daily on Tuesday, facing east. Complete mahadasha-count japa over the dasha period."", ""maraka_contraindication_verdict"": null}",0.90,"{""citation"": ""BPHS Ch.91-94 (Upaya-adhyaya)"", ""source_id"": ""BPHS""}",,,,Manglik Dosha,1.010502,v1.0,,,,0.9,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": ""free"", ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,simple,f,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/mars_matrix_mantra,G27 remedy mars_matrix_mantra for Mars,2026-08-21 02:31:40.29037+00
dac61e61-4d5c-4874-88f6-09100aa0b25d,482012f1-710e-4a25-994a-93821f5871aa,true_chitra,5b1ec47a-84ca-4b08-9251-996c06835b86,static_natal,Mercury,3e81ea54-9ee4-4168-89f1-edab0b72deb8,parashari,,charity,mercury_matrix_charity_green_gram_moong,Donate green gram (moong) to the needy / a temple / a Brahmin on Wednesday (for Mercury propitiation). Consistent donation on the planet's day pacifies its afflictions.,"{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""preamble_stripped"": false, ""prescription_text"": ""Donate green gram (moong) to the needy / a temple / a Brahmin on Wednesday (for Mercury propitiation). Consistent donation on the planet's day pacifies its afflictions."", ""maraka_contraindication_verdict"": null}",0.85,"{""citation"": ""BPHS Ch.91-94 (Upaya-adhyaya)"", ""source_id"": ""BPHS""}",,,,,0.908918,v1.0,,,,0.75,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": ""low"", ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,moderate,f,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/mercury_matrix_charity_green_gram_moong,G27 remedy mercury_matrix_charity_green_gram_moong for Mercury,2026-08-21 02:31:40.29037+00
75a1ff28-5b47-40a2-b43e-2bb7ec40d5e0,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,5b1ec47a-84ca-4b08-9251-996c06835b86,static_natal,Mars,13a1bbe0-8cde-4dec-9845-907c0137b8f6,parashari,,charity,dana_mars_masoor_blood_donation,"Tuesday dana for Mars (BPHS Ch.93): donate masoor dal (red lentils), red cloth, and copper on Tuesdays. Blood donation on Tuesdays is the modern classical equivalent and is widely recommended — blood ","{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""preamble_stripped"": false, ""prescription_text"": ""Tuesday dana for Mars (BPHS Ch.93): donate masoor dal (red lentils), red cloth, and copper on Tuesdays. Blood donation on Tuesdays is the modern classical equivalent and is widely recommended — blood is Mars's fluid and giving it is the strongest Mars-karmic action. Also: donate to emergency services or fire departments (Mars governs fire and emergencies)."", ""maraka_contraindication_verdict"": null}",0.87,"{""citation"": ""BPHS Ch.93 (Mangala dana)"", ""source_id"": ""BPHS""}",,,,Manglik Dosha,0.930304,v1.0,,,,0.75,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": ""low"", ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,moderate,f,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/dana_mars_masoor_blood_donation,G27 remedy dana_mars_masoor_blood_donation for Mars,2026-08-21 02:31:40.29037+00
45c9bd39-bb7c-4932-b04b-57a8ee23ac71,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,5b1ec47a-84ca-4b08-9251-996c06835b86,static_natal,Mars,13a1bbe0-8cde-4dec-9845-907c0137b8f6,parashari,,charity,mars_matrix_charity_masoor_dal,Donate masoor dal to the needy / a temple / a Brahmin on Tuesday (for Mars propitiation). Consistent donation on the planet's day pacifies its afflictions.,"{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""preamble_stripped"": false, ""prescription_text"": ""Donate masoor dal to the needy / a temple / a Brahmin on Tuesday (for Mars propitiation). Consistent donation on the planet's day pacifies its afflictions."", ""maraka_contraindication_verdict"": null}",0.85,"{""citation"": ""BPHS Ch.91-94 (Upaya-adhyaya)"", ""source_id"": ""BPHS""}",,,,Manglik Dosha,0.908918,v1.0,,,,0.75,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": ""low"", ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,moderate,f,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/mars_matrix_charity_masoor_dal,G27 remedy mars_matrix_charity_masoor_dal for Mars,2026-08-21 02:31:40.29037+00
af0abfc8-f27d-4bd4-b40d-8c007581e825,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,5b1ec47a-84ca-4b08-9251-996c06835b86,static_natal,Ketu,972d2c05-616c-471e-b3f9-152e94bb572c,parashari,,mantra,ketu_matrix_mantra,"Recite the Ketu beej mantra 'Om Sraam Sreem Sraum Sah Ketave Namah' 108 times daily on Saturday/Tuesday, facing east. Complete mahadasha-count japa over the dasha period.","{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""preamble_stripped"": false, ""prescription_text"": ""Recite the Ketu beej mantra 'Om Sraam Sreem Sraum Sah Ketave Namah' 108 times daily on Saturday/Tuesday, facing east. Complete mahadasha-count japa over the dasha period."", ""maraka_contraindication_verdict"": null}",0.90,"{""citation"": ""BPHS Ch.91-94 (Upaya-adhyaya)"", ""source_id"": ""BPHS""}",,,,,1.010502,v1.0,,,,0.9,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": ""free"", ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,simple,f,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/ketu_matrix_mantra,G27 remedy ketu_matrix_mantra for Ketu,2026-08-21 02:31:40.29037+00
9cf83613-4e92-4d1b-8447-faab231479a8,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,5b1ec47a-84ca-4b08-9251-996c06835b86,static_natal,Ketu,972d2c05-616c-471e-b3f9-152e94bb572c,parashari,,gemstone,ketu_matrix_gemstone,"Wear a tested Cat's Eye (Lehsunia) in panchdhatu on the prescribed finger, on Saturday/Tuesday, during Shukla Paksha. ONLY if Ketu is a functional benefic in the chart (test for 3 days first before co","{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""preamble_stripped"": false, ""prescription_text"": ""Wear a tested Cat's Eye (Lehsunia) in panchdhatu on the prescribed finger, on Saturday/Tuesday, during Shukla Paksha. ONLY if Ketu is a functional benefic in the chart (test for 3 days first before committing)."", ""maraka_contraindication_verdict"": {""reason"": ""Ketu is neither the 2nd-house lord (Venus) nor the 7th-house lord (Venus) from lagna in this chart — no maraka-lordship contraindication under the v1 rule."", ""verdict"": ""no_contraindication_found"", ""citation"": ""BPHS Ch.44 \""Maraka (Killer) Planets\"" (2-5, 3): \""the 2nd and 7th are Maraka houses... The lords of the 2nd and the 7th ... are known as Marakas.\"" Trans. R. Santhanam, Ranjan Publications. Corroborated by BPHS Ch.47 (Venus sub-periods): \""If Venus be lord of the 2nd or the 7th (two maraka houses) there will be during his Dasa, physical pains and troubles.\"""", ""rule_scope"": ""v1: 2nd/7th house lordship only (occupancy + Rahu/Ketu extensions not yet implemented — see BETA_G.md follow-up)"", ""second_lord"": ""Venus"", ""seventh_lord"": ""Venus"", ""is_maraka_lord"": false, ""source_fact_id"": ""ce53a8025f335a1d""}}",0.85,"{""citation"": ""classical ratna-shastra; Phaladeepika"", ""source_id"": ""BPHS""}",,,,,0.908918,v1.0,"{""Gemstones strengthen the planet — wear ONLY if the planet is a functional benefic for the chart; otherwise they amplify malefic results.""}",,,0.45,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": ""high"", ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,complex,t,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/ketu_matrix_gemstone,G27 remedy ketu_matrix_gemstone for Ketu,2026-08-21 02:31:40.29037+00
83461231-cc41-460d-800f-860b9987816c,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,5b1ec47a-84ca-4b08-9251-996c06835b86,static_natal,Ketu,972d2c05-616c-471e-b3f9-152e94bb572c,parashari,,charity,ketu_matrix_charity_blanket,Donate blanket to the needy / a temple / a Brahmin on Saturday/Tuesday (for Ketu propitiation). Consistent donation on the planet's day pacifies its afflictions.,"{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""preamble_stripped"": false, ""prescription_text"": ""Donate blanket to the needy / a temple / a Brahmin on Saturday/Tuesday (for Ketu propitiation). Consistent donation on the planet's day pacifies its afflictions."", ""maraka_contraindication_verdict"": null}",0.85,"{""citation"": ""BPHS Ch.91-94 (Upaya-adhyaya)"", ""source_id"": ""BPHS""}",,,,,0.908918,v1.0,,,,0.75,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": ""low"", ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,moderate,f,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/ketu_matrix_charity_blanket,G27 remedy ketu_matrix_charity_blanket for Ketu,2026-08-21 02:31:40.29037+00
