chart_id,match_id,signal_id,family_id,dimension,credit_blame,channel_fired,attribution_formula_ver
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,ebb1c88a-8141-4c7e-860b-54ac293a06ac,fam_graha_natal,timing,0.2445,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,ebb1c88a-8141-4c7e-860b-54ac293a06ac,fam_graha_natal,magnitude,0.2161,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,ebb1c88a-8141-4c7e-860b-54ac293a06ac,fam_graha_natal,domain,0.5403,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,ebb1c88a-8141-4c7e-860b-54ac293a06ac,fam_graha_natal,falsifier,0.3242,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,ebb1c88a-8141-4c7e-860b-54ac293a06ac,fam_graha_natal,manifestation,0.1081,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,483e332a-a168-4cf1-b93b-0ad55d77d91c,fam_graha_natal,timing,0.2445,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,483e332a-a168-4cf1-b93b-0ad55d77d91c,fam_graha_natal,magnitude,0.2161,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,483e332a-a168-4cf1-b93b-0ad55d77d91c,fam_graha_natal,domain,0.5403,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,483e332a-a168-4cf1-b93b-0ad55d77d91c,fam_graha_natal,falsifier,0.3242,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,483e332a-a168-4cf1-b93b-0ad55d77d91c,fam_graha_natal,manifestation,0.1081,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,c31d3e74-2f44-41a6-8025-b32e44dbe1e2,fam_graha_natal,timing,0.2445,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,c31d3e74-2f44-41a6-8025-b32e44dbe1e2,fam_graha_natal,magnitude,0.2161,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,c31d3e74-2f44-41a6-8025-b32e44dbe1e2,fam_graha_natal,domain,0.5403,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,c31d3e74-2f44-41a6-8025-b32e44dbe1e2,fam_graha_natal,falsifier,0.3242,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,c31d3e74-2f44-41a6-8025-b32e44dbe1e2,fam_graha_natal,manifestation,0.1081,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,2dff20cd-12f5-492e-a88e-3fef42547eca,fam_graha_natal,timing,0.2445,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,2dff20cd-12f5-492e-a88e-3fef42547eca,fam_graha_natal,magnitude,0.2161,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,2dff20cd-12f5-492e-a88e-3fef42547eca,fam_graha_natal,domain,0.5403,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,2dff20cd-12f5-492e-a88e-3fef42547eca,fam_graha_natal,falsifier,0.3242,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,2dff20cd-12f5-492e-a88e-3fef42547eca,fam_graha_natal,manifestation,0.1081,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,d49da2e1-4b63-45f1-920e-c274df3ded21,fam_graha_natal,timing,0.2445,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,d49da2e1-4b63-45f1-920e-c274df3ded21,fam_graha_natal,magnitude,0.2161,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,d49da2e1-4b63-45f1-920e-c274df3ded21,fam_graha_natal,domain,0.5403,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,d49da2e1-4b63-45f1-920e-c274df3ded21,fam_graha_natal,falsifier,0.3242,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,d49da2e1-4b63-45f1-920e-c274df3ded21,fam_graha_natal,manifestation,0.1081,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f-corr-2022-07-14,ebb1c88a-8141-4c7e-860b-54ac293a06ac,fam_graha_natal,timing,0.11,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f-corr-2022-07-14,ebb1c88a-8141-4c7e-860b-54ac293a06ac,fam_graha_natal,magnitude,0.2161,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f-corr-2022-07-14,ebb1c88a-8141-4c7e-860b-54ac293a06ac,fam_graha_natal,domain,0.5403,,mi_pariksha_v2.0
